player,status,through_week,note
Kyler Murray,OUT,2,Out for the Week 2 games (Chris 2026-09-18; not on the NFL injury report yet)
Tyreek Hill,OUT,,Not playing in 2026 (Chris 2026-09-18; on no NFL roster)
