season,week,gsis_id,norm,player,pos,wopr_anchored,snapshot_date
2026,3,00-0034351,dallas goedert,Dallas Goedert,TE,0.35144459625770075,2026-09-25
2026,3,00-0035229,tj hockenson,T.J. Hockenson,TE,0.34950764128242573,2026-09-25
2026,3,00-0037741,jahan dotson,Jahan Dotson,WR,0.34899179987893186,2026-09-25
2026,3,00-0038129,cade otton,Cade Otton,TE,0.34852588269303003,2026-09-25
2026,3,00-0036040,juwan johnson,Juwan Johnson,TE,0.3479545634653163,2026-09-25
2026,3,00-0041042,malachi fields,Malachi Fields,WR,0.3450862811563815,2026-09-25
2026,3,00-0041048,ted hurst,Ted Hurst III,WR,0.34217015683991214,2026-09-25
2026,3,00-0036309,darnell mooney,Darnell Mooney,WR,0.3397883375676124,2026-09-25
2026,3,00-0041547,kc concepcion,KC Concepcion,WR,0.3396299310106955,2026-09-25
2026,3,00-0041523,caleb douglas,Caleb Douglas,WR,0.3369850967654428,2026-09-25
2026,3,00-0038104,tyquan thornton,Tyquan Thornton,WR,0.3348685595035982,2026-09-25
2026,3,00-0040736,mason taylor,Mason Taylor,TE,0.33257684753767663,2026-09-25
2026,3,00-0041489,germie bernard,Germie Bernard,WR,0.3313396486906043,2026-09-25
2026,3,00-0038996,tucker kraft,Tucker Kraft,TE,0.3270207545434652,2026-09-25
2026,3,00-0038618,xavier hutchinson,Xavier Hutchinson,WR,0.3257002667263031,2026-09-25
2026,3,00-0039342,xavier legette,Xavier Legette,WR,0.32404828695655297,2026-09-25
2026,3,00-0033921,chris godwin,Chris Godwin Jr.,WR,0.3236639183907402,2026-09-25
2026,3,00-0036415,van jefferson,Van Jefferson,WR,0.3199423990036584,2026-09-25
2026,3,00-0039884,tahj washington,Tahj Washington,WR,0.31888761425452394,2026-09-25
2026,3,00-0033908,cooper kupp,Cooper Kupp,WR,0.31703028223684226,2026-09-25
2026,3,00-0033307,kendrick bourne,Kendrick Bourne,WR,0.3157829704398861,2026-09-25
2026,3,00-0034829,mike gesicki,Mike Gesicki,TE,0.312525028154845,2026-09-25
2026,3,00-0040130,jayden higgins,Jayden Higgins,WR,0.31226130297300114,2026-09-25
2026,3,00-0034983,hunter renfrow,Hunter Renfrow,WR,0.3092968408085196,2026-09-25
2026,3,00-0037291,jalen nailor,Jalen Nailor,WR,0.3086858863064228,2026-09-25
2026,3,00-0039739,roman wilson,Roman Wilson,WR,0.30561348404596933,2026-09-25
2026,3,00-0039855,jalen mcmillan,Jalen McMillan,WR,0.3054097227189281,2026-09-25
2026,3,00-0040126,colston loveland,Colston Loveland,TE,0.3018750534857538,2026-09-25
2026,3,00-0036423,albert okwuegbunam,Albert Okwuegbunam,TE,0.3016393442622951,2026-09-25
2026,3,00-0034775,christian kirk,Christian Kirk,WR,0.29934549112092657,2026-09-25
2026,3,00-0040581,donte thornton,Dont'e Thornton Jr.,WR,0.29877208638736763,2026-09-25
2026,3,00-0039066,michael mayer,Michael Mayer,TE,0.29487171338586277,2026-09-25
2026,3,00-0039146,jayden reed,Jayden Reed,WR,0.294726327727474,2026-09-25
2026,3,00-0038979,cedric tillman,Cedric Tillman,WR,0.2932467837434375,2026-09-25
2026,3,00-0039847,theo johnson,Theo Johnson,TE,0.2919529162724239,2026-09-25
2026,3,00-0036626,dyami brown,Dyami Brown,WR,0.28842728837371945,2026-09-25
2026,3,00-0032385,sterling shepard,Sterling Shepard,WR,0.285876360402295,2026-09-25
2026,3,00-0032398,chris moore,Chris Moore,WR,0.2831726236353073,2026-09-25
2026,3,00-0038608,kayshon boutte,Kayshon Boutte,WR,0.2825867080616211,2026-09-25
2026,3,00-0038935,brenton strange,Brenton Strange,TE,0.28236585509646056,2026-09-25
2026,3,00-0037809,chig okonkwo,Chig Okonkwo,TE,0.28212231110771896,2026-09-25
2026,3,00-0040648,tory horton,Tory Horton,WR,0.28101822799940235,2026-09-25
2026,3,00-0032688,robbie chosen,Robbie Chosen,WR,0.2770115973218556,2026-09-25
2026,3,00-0031610,darren waller,Darren Waller,TE,0.27566641249785817,2026-09-25
2026,3,00-0040237,tez johnson,Tez Johnson,WR,0.2719961464977942,2026-09-25
2026,3,00-0037015,sal cannella,Sal Cannella,TE,0.27177033492822966,2026-09-25
2026,3,00-0032464,kalif raymond,Kalif Raymond,WR,0.27171172665749593,2026-09-25
2026,3,00-0033885,david njoku,David Njoku,TE,0.27125934173322874,2026-09-25
2026,3,00-0038041,jake ferguson,Jake Ferguson,TE,0.27092420155281144,2026-09-25
2026,3,00-0040727,tre harris,Tre Harris,WR,0.2705362953558894,2026-09-25
2026,3,00-0040522,xavier restrepo,Xavier Restrepo,WR,0.2691844536476585,2026-09-25
2026,3,00-0035662,marquise brown,Marquise Brown,WR,0.26842825213864296,2026-09-25
2026,3,00-0038621,demario douglas,DeMario Douglas,WR,0.2670171044491479,2026-09-25
2026,3,00-0037742,treylon burks,Treylon Burks,WR,0.2645853807727942,2026-09-25
2026,3,00-0036988,josh palmer,Josh Palmer,WR,0.2638536578023893,2026-09-25
2026,3,00-0036894,pat freiermuth,Pat Freiermuth,TE,0.2610496132142839,2026-09-25
2026,3,00-0038809,ben sims,Ben Sims,TE,0.2608135067238067,2026-09-25
2026,3,00-0041550,brenen thompson,Brenen Thompson,WR,0.2605297140875662,2026-09-25
2026,3,00-0036196,gabe davis,Gabe Davis,WR,0.2578061100485042,2026-09-25
2026,3,00-0032775,demarcus robinson,Demarcus Robinson,WR,0.25754301631841336,2026-09-25
2026,3,00-0033591,noah brown,Noah Brown,WR,0.2569020866773676,2026-09-25
2026,3,00-0039394,casey washington,Casey Washington,WR,0.25688403469322196,2026-09-25
2026,3,00-0039410,ryan flournoy,Ryan Flournoy,WR,0.25641244228410764,2026-09-25
2026,3,00-0040189,oronde gadsden,Oronde Gadsden II,TE,0.2555524361808536,2026-09-25
2026,3,00-0040870,jakobi lane,Ja'Kobi Lane,WR,0.25407801205396763,2026-09-25
2026,3,00-0037112,jake tonges,Jake Tonges,TE,0.2529166767123948,2026-09-25
2026,3,00-0040737,terrance ferguson,Terrance Ferguson,TE,0.2519090591333287,2026-09-25
2026,3,00-0031236,brandin cooks,Brandin Cooks,WR,0.2505863864784292,2026-09-25
2026,3,00-0030564,deandre hopkins,DeAndre Hopkins,WR,0.250103127146966,2026-09-25
2026,3,00-0041040,antonio williams,Antonio Williams,WR,0.2490939421481264,2026-09-25
2026,3,00-0036165,isaiah hodgins,Isaiah Hodgins,WR,0.24879927583194794,2026-09-25
2026,3,00-0040782,isaiah bond,Isaiah Bond,WR,0.2480119943721254,2026-09-25
2026,3,00-0033881,evan engram,Evan Engram,TE,0.24596945117326766,2026-09-25
2026,3,00-0035359,david sills,David Sills,WR,0.2458090608461857,2026-09-25
2026,3,00-0040134,pat bryant,Pat Bryant,WR,0.2450747568419736,2026-09-25
2026,3,00-0032211,tyler lockett,Tyler Lockett,WR,0.24483740264516213,2026-09-25
2026,3,00-0040584,gunnar helm,Gunnar Helm,TE,0.2426289669532923,2026-09-25
2026,3,00-0033891,zay jones,Zay Jones,WR,0.24156540044014924,2026-09-25
2026,3,00-0037252,greg dulcich,Greg Dulcich,TE,0.24017046288944366,2026-09-25
2026,3,00-0038839,mitchell tinsley,Mitchell Tinsley,WR,0.23859091868256005,2026-09-25
2026,3,00-0034272,marquez valdes scantling,Marquez Valdes-Scantling,WR,0.2353999795928779,2026-09-25
2026,3,00-0041529,kevin coleman,Kevin Coleman Jr.,WR,0.2291285783970097,2026-09-25
2026,3,00-0036534,shane zylstra,Shane Zylstra,TE,0.22859559007767477,2026-09-25
2026,3,00-0035208,olamide zaccheaus,Olamide Zaccheaus,WR,0.2278960870807,2026-09-25
2026,3,00-0037231,kevin austin,Kevin Austin Jr.,WR,0.22420248422712932,2026-09-25
2026,3,00-0036427,tyler johnson,Tyler Johnson,WR,0.22011345396176857,2026-09-25
2026,3,00-0038938,jalin hyatt,Jalin Hyatt,WR,0.21943689150074552,2026-09-25
2026,3,00-0037614,john metchie,John Metchie III,WR,0.2192286514018263,2026-09-25
2026,3,00-0041525,chris bell,Chris Bell,WR,0.2178386532507985,2026-09-25
2026,3,00-0040894,malik benson,Malik Benson,WR,0.21314703429221177,2026-09-25
2026,3,00-0037666,jalen tolbert,Jalen Tolbert,WR,0.21146221762455794,2026-09-25
2026,3,00-0040867,makai lemon,Makai Lemon,WR,0.21080530968607417,2026-09-25
2026,3,00-0040890,cyrus allen,Cyrus Allen,WR,0.21023720008815566,2026-09-25
2026,3,00-0039793,aj barner,AJ Barner,TE,0.20965748504866136,2026-09-25
2026,3,00-0035406,liljordan humphrey,Lil'Jordan Humphrey,WR,0.20946964741685037,2026-09-25
2026,3,00-0041511,omar cooper,Omar Cooper Jr.,WR,0.20855009492278964,2026-09-25
2026,3,00-0037098,samori toure,Samori Toure,WR,0.20816521554470163,2026-09-25
2026,3,00-0036290,cole kmet,Cole Kmet,TE,0.20669795619087422,2026-09-25
2026,3,00-0041067,bryce lance,Bryce Lance,WR,0.20637776080647047,2026-09-25
2026,3,00-0040705,chimere dike,Chimere Dike,WR,0.2061556944017048,2026-09-25
2026,3,00-0041069,colbie young,Colbie Young,WR,0.2059247059649213,2026-09-25
2026,3,00-0038619,andrei iosivas,Andrei Iosivas,WR,0.20461960828081743,2026-09-25
2026,3,00-0038679,tyrell shavers,Tyrell Shavers,WR,0.20426862207638902,2026-09-25
2026,3,00-0033110,tyler higbee,Tyler Higbee,TE,0.20132986193814803,2026-09-25
2026,3,00-0040729,jack bech,Jack Bech,WR,0.20030655311940354,2026-09-25
2026,3,00-0038647,ronnie bell,Ronnie Bell,WR,0.19603507434235606,2026-09-25
2026,3,00-0036133,james proche,James Proche,WR,0.19417034425655777,2026-09-25
2026,3,00-0039356,jatavion sanders,Ja'Tavion Sanders,TE,0.1932775957120079,2026-09-25
2026,3,00-0040669,isaac teslaa,Isaac TeSlaa,WR,0.1917839467960834,2026-09-25
2026,3,00-0041132,deion burks,Deion Burks,WR,0.1877585676095232,2026-09-25
2026,3,00-0040621,montorie foster,Montorie Foster Jr,WR,0.1877585676095232,2026-09-25
2026,3,00-0041051,zavion thomas,Zavion Thomas,WR,0.1877585676095232,2026-09-25
2026,3,00-0041100,josh cameron,Josh Cameron,WR,0.1845790029471624,2026-09-25
2026,3,00-0037005,tommy tremble,Tommy Tremble,TE,0.18309618253662813,2026-09-25
2026,3,00-0040948,j michael sturdivant,J. Michael Sturdivant,WR,0.1826103910651105,2026-09-25
2026,3,00-0030035,adam thielen,Adam Thielen,WR,0.18009956206041644,2026-09-25
2026,3,00-0032392,austin hooper,Austin Hooper,TE,0.17993098922403808,2026-09-25
2026,3,00-0038891,shedrick jackson,Shedrick Jackson,WR,0.17789634146341463,2026-09-25
2026,3,00-0033858,jonnu smith,Jonnu Smith,TE,0.17770621253623847,2026-09-25
2026,3,00-0039144,luke musgrave,Luke Musgrave,TE,0.17767326732673266,2026-09-25
2026,3,00-0038558,darnell washington,Darnell Washington,TE,0.17764004988585053,2026-09-25
2026,3,00-0038976,marvin mims,Marvin Mims Jr.,WR,0.17716331030654414,2026-09-25
2026,3,00-0039451,isaiah williams,Isaiah Williams,WR,0.17551686970058628,2026-09-25
2026,3,00-0035689,dawson knox,Dawson Knox,TE,0.17265683033604745,2026-09-25
2026,3,00-0041044,zachariah branch,Zachariah Branch,WR,0.1717370188173077,2026-09-25
2026,3,00-0039355,luke mccaffrey,Luke McCaffrey,WR,0.17152777777777778,2026-09-25
2026,3,00-0035644,noah fant,Noah Fant,TE,0.17070759445117534,2026-09-25
2026,3,00-0036244,colby parkinson,Colby Parkinson,TE,0.17023397559048778,2026-09-25
2026,3,00-0041558,sam roush,Sam Roush,TE,0.16999832023113617,2026-09-25
2026,3,00-0036849,tutu atwell,Tutu Atwell,WR,0.168849104826758,2026-09-25
2026,3,00-0038728,jared wayne,Jared Wayne,WR,0.1679302579226581,2026-09-25
2026,3,00-0040785,dohnte meyers,Dohnte Meyers,WR,0.1672648837772272,2026-09-25
2026,3,00-0035298,scott miller,Scott Miller,WR,0.16519137338547218,2026-09-25
2026,3,00-0039792,devontez walker,Devontez Walker,WR,0.16340507236798832,2026-09-25
2026,3,00-0033857,juju smith schuster,JuJu Smith-Schuster,WR,0.1626902333529129,2026-09-25
2026,3,00-0040138,jaylin noel,Jaylin Noel,WR,0.15926482821315752,2026-09-25
